1 901 6101
2 400 2699
3 1000 3000
4 701 1800
5 1800 3400
6 800 2400
7 800 4000
8 800 5801
9 800 19199
10 9401 6699
11 11800 5301
12 14700 7599
13 18000 24000
14 22200 9900
15 27200 11400
16 32200 14100
17 37501 17200
18 44801 17800
19 53900 18000
20 72999 21801
21 71200 26100
22 82800 22101
23 94400 26500
24 116401 29400
25 126800 36801
26 155901 37400
27 158400 40801
28 187600 45200
29 207300 50500
30 218000 54800
31 238301 61800
32 259601 53601
33 336099 181200
34 433699 82900
35 345000 53900
36 383500 51400
37 413001 58101
38 451300 43401
39 428100 46100
40 448301 50800
41 510801 61400
42 533000 53299
43 585999 35901
44 629000 34800
45 646000 41300
46 702500 45900
47 756701 45000
48 803100 54299
49 858200 65199
50 985600 71999
51 967900 81701
52 1065400 75201
53 1119799 70900
54 1170499 81600
55 1451500 107900
56 1506601 114099
57 1556399 128501
58 1544100 115301
59 1693400 140300
60 1789700 101100
61 1751901 59600
62 1777400 64700
63 1881100 60699
64 2072800 109399
65 2379400 93000
66 2421399 77500
67 2531600 83301
68 2513501 72300
69 2406000 83701
70 2482500 63901
71 2664800 52600
72 2704701 62699
73 2907001 71399
74 2896900 62700
75 2988201 72099
76 3261801 72500
77 3172699 72900
78 3338900 89300
79 3440600 85100
80 3605101 75300
81 3971000 86400
82 3923300 98000
83 4017800 97700
84 4181400 102100
85 4721201 142000
86 4875200 116999
87 4813101 94299
88 5426000 66000
89 5482200 50700
90 5479100 52501
91 6005500 34600
92 5862201 38400
93 5781799 37500
94 6402800 38799
95 6314599 40300
96 7461000 49900
97 6995401 49500
98 7351400 45300
99 7604400 47700
100 7186299 47001
101 8296201 75100
102 8665700 77100
103 8240000 63300
104 8757499 81700
105 10071900 114400
106 10781100 99599
107 10454700 94400
108 10087000 80800
109 9789299 93101
110 10673000 71100
111 10552400 60499
112 10501101 56400
113 11981800 54700
114 11914999 48700
115 12094500 63001
116 12650300 62699
117 14379701 88200
118 15149001 97801
119 14344299 79700
120 13622799 71401
121 13256899 71000
122 14306600 78199
123 13565899 69700
124 15251900 102399
125 15790800 99800
126 16190400 76600
127 16601701 95701
128 17377801 71900
129 18845501 93300
130 18336300 128100
131 18255300 99199
132 18427300 88600
133 19802700 128700
134 19437700 101400
135 18062400 100800
136 18963600 106700
137 20207700 104700
138 20696900 112600
139 21177000 124101
140 19772500 126000
141 23317500 117499
142 23227400 121600
143 21014500 122200
144 21650901 141500
145 22161700 103600
146 23759200 117999
147 23892300 158501
148 23538299 154301
149 23070500 173299
150 24476001 176100
151 25867299 208501
152 26768599 107300
153 28370700 124300
154 26923900 110800
155 27557101 106600
156 27544399 129801
157 30238701 155200
158 32464100 118699
159 30094600 145200
160 32510200 180699
161 32252601 136900
162 32512899 148601
163 31437099 137999
164 29235800 152400
165 29346399 155901
166 30563700 184600
167 30529700 173300
168 32721000 210700
169 32693201 194099
170 31321200 279500
171 32521800 191699
172 34720900 198700
173 37506900 215800
174 37573801 108000
175 39969499 63499
176 36310300 67199
177 40130101 96300
178 40711401 72000
179 41766200 74999
180 45084801 80500
181 44088101 83500
182 45315301 76900
183 44420101 86899
184 45979899 82200
185 47201300 93099
186 51830700 157000
187 52691800 116401
188 51505000 117400
189 55630599 113801
190 59518200 128899
191 55738499 151101
192 55467899 130600
193 55187400 179600
194 60475601 215200
195 57599200 212500
196 58098000 136300
197 62357700 162800
198 61399300 163000
199 62361100 159800
200 59770801 210800
201 68391301 165800
202 67713401 177700
203 65193400 140501
204 66606400 212400
205 64347700 123901
206 64821800 131900
207 70145600 141200
208 71767600 149000
209 71700799 230400
210 68992900 144900
211 62225100 130599
212 63289400 154800
213 67471400 171300
214 65903299 161800
215 67972800 165401
216 68567201 168600
217 73370700 194300
218 71302100 180800
219 72260000 184900
220 77881299 136300
221 81126699 184701
222 80311800 154000
223 83530601 161600
224 87153900 181099
225 89507400 186400
226 89061900 301000
227 95809401 196700
228 97975500 190100
229 96754301 251500
230 91179599 198700
231 95206100 313600
232 97986600 317000
233 98725100 249700
234 97472999 239801
235 95276000 268801
236 95621900 289199
237 101847699 242400
238 99403099 235601
239 93384399 210701
240 98188499 203800
241 96640399 236001
242 96839101 382201
243 102496800 344901
244 106062900 259799
245 103469399 258300
246 104806699 370701
247 109188200 409700
248 116622100 323600
249 120023501 307200
250 123901700 361900
251 131267000 408400
252 126590600 200800
253 125779001 204301
254 127848801 250100
255 126124101 224100
256 122847300 209199
